smiles,Tg
CC,48.99
CCC,50.857
C=CCC,58
C=CCC,58
C=CCC,61
C=CCC,61
CCC(C)C,65
CCCC,74.571
CC(C)C(C)C,76
CCC(C)C,76
CCC(C)CC,77
CCC(C)CC,77
CCC(C)CC,77
CCCC(C)C,78
CCCC(C)C,78
CCCC(C)C,78
CCCCC,78.714
CCCC(C)C,80
CCCC(C)CC,80
CCCC(C)C,80
CC=O,82
C1CCCCCC1,83
CC1CCCCC1,85
CC1CCCCC1,85
CCCC=CC,85
CC(C)CBr,85
CC1CCCCC1,85
CC=CCCC,85
CCC(C)CC,88
CC(C)CCl,88
CCC(C)CC,88
CC(C)CCl,88
CC(C)CCl,89.4
CC(C)CCl,89.4
CCCCCC=C,91
CC1CCCO1,91
C=CCCCCC,91
CCCCCC,91.428
C1CCC=CC1,92
C1=CCCCC1,92
CCOCC,92.55
CCOCC,92.55
CCCO,93
CCCO,93
CCCCC=CC,93
OCC,93
CCO,93
OCC,94
CC1CCC=CC1,94
CCCCCCC,94.143
CC(C)CBr,95
CC(C)CBr,95
OCC,96
OCC,96
CCCO,96.2
CCCO,96.2
CCCCBr,96.5
CCCCBr,96.5
CCCCCCCC,96.714
CC1CCCCC1C,97
CCCC#N,97
CC(C)CBr,97
CCO,97
CCCC#N,97
OCC,97.05
OCC,97.25
CCO,97.25
CCCO,98
CCCCC(C)CC,98
CCC1CCCCC1,98
CCC1CCCCC1,98
CCC1CCCCC1,98
CCCCC(C)CC,98
CCCC(C)CC,99
CCCC(C)CC,99
CC(C)CBr,99.1
CC(C)CBr,99.1
CCCO,99.85
CCCO,99.95
CO,100
CCC(C)O,100
CCCO,100
CO,100
CCCCCCCCC,100
CC(=O)C,100.15
CC(C)=O,100.15
CCCCCC=CC,101
CC=CCCCCC,101
CC(C)OC(C)C,101.35
CC(C)OC(C)C,101.35
CO,102.65
CO,102.75
CCCO,103
CO,103
CO,103
CCCO,103
CCCCCCCCCC,103.143
CCN(CC)CC,103.15
CCN(CC)CC,103.15
CCCCBr,103.3
CCCCBr,103.3
CC(C)CCBr,105
CO,105
CC(C)CCBr,105
CCC(Br)CC,106
CCC(Br)CC,106
CC(C)CO,107
CCCCC(C)CC,107
CCCBr,107
CC(C)CO,107
CCCBr,107
ClC=C(Cl)Cl,107.05
ClC=C(Cl)Cl,107.05
CC(C)C1CCCCC1,108
CCC(Br)CC,108
CC(C)C1CCCCC1,108
CCCCI,108.4
CCCCI,108.4
CC(C)CCBr,109
CC(C)CCBr,109
CCC(Br)CC,110
CCC(Br)CC,110
CCc1ccccc1,111
CCc1ccccc1,111
CCC(=O)C,111
CCc1ccccc1,111
CCC(C)=O,111.35
CCCCO,111.55
CCCCO,111.55
CCCCO,111.65
Cc1ccccc1,113
Cc1ccccc1,113
CCCCO,113
Cc1ccccc1,113
CCCCO,113.38
CCCCO,113.6
CCCCO,114
CCCCO,114
CC1CO1,114.7
CC1CO1,114.7
CCc1ccccc1,115
CCc1ccccc1,115
CCC(C)O,116
CCOC(=O)C,116
CC(C)CO,116.5
Cc1ccccc1,117
Cc1ccccc1,117.25
CCOC(=O)C,117.65
CCOC(C)=O,117.65
C1=CC=CC=C1,118
CC(C)O,118.8
CC(C)O,118.8
CCCCC1CCCCC1,119
CCCCC1CCCCC1,119
CCCCO,119
CC(C)O,119
CCCCC1CCCCC1,119
Cc1ccccc1,119.4
Cc1ccccc1,119.4
CC(C)CC(=O)C,119.85
CC(=O)CC(C)C,119.85
CCCCCO,120
CC1=CC(=CC=C1)C,120
Cc1cccc(C)c1,120
CCCCCO,120
CCC(C)O,120.34
CCC(C)O,120.34
CCCCCO,120.75
CCCCCO,120.95
CCCCCO,120.95
CC(C)O,121
CC(C)O,121
CCCC1=CC=CC=C1,122
CCCC1=CC=CC=C1,122
CCCC1=CC=CC=C1,122
CC(C)CO,122
CCCCCO,122
CCCc1ccccc1,122
CC1=CC(=CC=C1)F,122.5
CC1=CC(=CC=C1)F,122.5
Cc1cccc(F)c1,122.5
CC1=C(C)C=CC=C1,123
CCC(C)C1CCCCC1,123
CCCCCC(C)CCC,123
CCC(C)O,123
CC(C)CCO,123
Cc1ccccc1C,123
CCCCCC(C)CCC,123
CC(C)CCO,123.2
CC(C)CCO,123.2
CCC(C)CO,123.6
CCCCC1=CC=CC=C1,124
CC(C)C1=CC=CC=C1,124.8
CCCCCCO,125
CCCCCC1CCCCC1,125
CC(=O)OC=C,125
CC(C)C1=CC=CC=C1,125
CC(C)C1=CC=CC=C1,125
CC(C)C1=CC=CC=C1,125
CCCCC1=CC=CC=C1,125
CCCCCC1CCCCC1,125
CCCCc1ccccc1,125
CC(C)c1ccccc1,125
CCCCCCO,125
C=COC(C)=O,125
CC1=CC(=CC=C1)C,125.5
Cc1cccc(C)c1,125.5
CCCCOC(=O)C,125.7
CCCCOC(C)=O,125.7
CC(C)CC(C)CC(C)C,126
CC(C)CC(C)CC(C)C,126
CCCC1=CC=CC=C1,126.2
CCCc1ccccc1,126.2
C1=CC=C(C=C1)Cl,126.3
CC(C)CO,127
CCC(C)O,127
CCC(C)C1=CC=CC=C1,127
CCC(C)CO,127
CCC(C)c1ccccc1,127
CCC(C)O,127
CC(C)CO,127
C1=CC=NC=C1,127.45
c1ccncc1,127.45
CCCCCC1=CC=CC=C1,128
CCCCCC1=CC=CC=C1,128
CCC(C)C1=CC=CC=C1,128
CCC(C)c1ccccc1,128
CCCCCc1ccccc1,128
CC(C)C1=CC=CC=C1,129.5
CC(C)c1ccccc1,129.5
CCCCCCO,129.85
CCCCCCO,129.85
CCCCCCO,129.85
CC(C)(C)Cl,130
CCC(CC)CO,131
CCC(C)CO,131
CCC(CC)CO,131
CCC(C)CO,131
CCCCCCC1CCCCC1,133
CCCCCCC1CCCCC1,133
CCCCCCO,134
CCCCCCCC(C)CCC,135
CCCCCCC1=CC=CC=C1,137
CCCCCCC1=CC=CC=C1,137
CCCCCCc1ccccc1,137
C1CCC2CCCCC2C1,137.4
C1CCC2CCCCC2C1,137.4
CC(C)(C)Cl,137.5
CC(C)(C)Cl,137.5
CCCC(C)CCCO,138
CCCC(C)CCCO,138
CCCC(C)O,140
CC(C)CCCCCO,140
C1CCCC(CC1)O,140
C1=CC=C(C=C1)Br,140
CC(C)CCCCCO,140
CCCC(C)O,140
CC(C)CCCCCO,140
